20,107.2246,1.000,0.000
30, 107.2246,1.000, 0.000
40, 107.2246,1.000, 0.000
47.7608,107.2246,1.000,0.000  
53.0464,106.8261,0.9239,-0.3827
61.0464,104.261,0.9239,-0.3827
70.5464,103.5261,0.9239,-0.3827      
78.04300045785101,103.6261,1.000, 0.000
88.04158607997358,103.5261,1.000, 0.000
97.04017170209616,103.5261,1.000, 0.000
103.53875732421875,103.0261,1.000, 0.000
108.03875732421875,101.5261,0.9239,-0.3827
108.03875732421875,95.000,0.7071,-0.7071
108.03875732421875,90.000,0.7071,-0.7071
109.03875732421875,88.000,0.9239,-0.3827
112.03875732421875,86.500,1.000, 0.000
115.03875732421875,86.500,1.000, 0.000
125.03875732421875,86.500,1.000, 0.000
135.03875732421875,86.500,1.000, 0.000
145.03875732421875,86.700,1.000, 0.000
155.03875732421875,86.700,1.000, 0.000
165.03875732421875,86.500,1.000, 0.000
175.03875732421875,86.500,1.000, 0.000
185.03875732421875,86.500,1.000, 0.000
195.03875732421875,86.500,1.000, 0.000
205.03875732421875,86.500,1.000, 0.000
215.03875732421875,86.500,1.000, 0.000
225.03875732421875,86.500,1.000, 0.000
